24150;23885;23249;25980;25457;24177;22753;24387;24495;24173;22020;26293;24826;25920;25110;26447;24786;23689;23953;23075;27586;23466;25196;24215;24889;23752;25031;26735;26958;25590;24326;24220;24274;23877;23702
21947;21715;21114;23799;23276;22000;20593;22209;22284;21982;19838;24143;22632;23735;22942;24288;22615;21510;21791;20906;25389;21304;23057;22019;22709;21522;22868;24554;24748;23403;22133;22019;22084;21674;21506
20712;20545;19977;22611;22109;20808;19443;21039;21028;20806;18616;23032;21420;22517;21794;23122;21439;20320;20672;19747;24150;20144;21972;20760;21508;20219;21757;23352;23496;22191;20893;20787;20860;20423;20312
20985;20980;20512;23035;22588;21322;20064;21537;21309;21349;18983;23668;21767;22903;22348;23512;21916;20824;21247;20333;24287;20691;22721;21060;21859;20454;22398;23620;23713;22564;21202;21167;21128;20778;20876
24584;24628;24492;26527;26218;24973;23854;25238;24906;25091;22596;27264;25270;26272;26042;26824;25625;24527;25024;24109;27539;24467;26505;24597;25483;23953;26146;26890;27051;26036;24812;25003;24690;24427;24684
31864;31839;32042;33685;33406;32296;31141;32497;32272;32393;29935;34284;32491;33440;33210;33753;32996;31912;32179;31384;34652;31782;33630;32057;32811;31447;33221;33869;34246;33249;32269;32596;31989;31927;32079
39689;39574;39721;41674;41283;40263;38941;40328;40172;40255;37787;42216;40436;41604;41027;41796;40914;39838;39856;39169;42742;39564;41422;40109;40658;39576;40937;41860;42369;41265;40219;40507;39783;39865;39999
43077;42660;42727;44935;44533;43436;42063;43500;43488;43392;40937;45550;43658;44975;44276;45320;44089;42922;42978;42309;46221;42696;44530;43280;43815;42830;44116;45233;45827;44552;43335;43797;42876;42873;43276
41597;41010;40961;43476;43035;41906;40486;41930;41967;41807;39331;44199;42128;43636;42789;44096;42520;41303;41366;40732;44874;41096;42996;41699;42198;41296;42588;43854;44477;43101;41686;42227;41191;41153;41787
41183;40460;40363;42993;42563;41412;40014;41427;41511;41294;38812;43815;41606;43205;42356;43759;41992;40747;40858;40263;44413;40603;42524;41137;41644;40765;42141;43399;44038;42627;41091;41747;40594;40523;41372
41832;41042;40870;43602;43173;42061;40687;42037;42166;41928;39444;44470;42191;43854;43009;44401;42564;41352;41447;40936;44944;41239;43162;41727;42199;41396;42793;43984;44640;43250;41644;42354;41138;41108;42080
42108;41404;41100;43991;43528;42527;41157;42415;42518;42371;39849;44866;42554;44286;43396;44702;42899;41796;41785;41393;45130;41640;43617;42128;42503;41832;43203;44292;44938;43641;41995;42630;41456;41567;42536
41642;41065;40629;43627;43150;42273;40932;42082;42142;42121;39541;44497;42178;43929;43059;44174;42500;41534;41429;41157;44488;41340;43365;41791;42080;41534;42915;43805;44437;43275;41623;42179;41064;41341;42286
43044;42659;42024;45171;44697;43960;42674;43692;43663;43861;41142;46045;43710;45445;44659;45458;43996;43224;43034;42893;45625;42976;45093;43336;43541;43145;44613;45164;45773;44798;43144;43606;42574;43071;44005
48370;48017;47275;50326;49947;49264;48075;49032;49059;49311;46507;51100;48951;50470;49949;50274;49197;48575;48399;48330;50486;48338;50355;48585;48794;48511;49990;50150;50811;49957;48442;48955;47932;48555;49460
54582;54353;53456;56604;56203;55393;54087;55282;55296;55567;52716;57113;55343;56623;56051;56343;55432;54818;54676;54390;56963;54434;56394;54897;55159;54870;56136;56526;57171;56198;54850;55133;54436;54971;55468
59345;59508;58339;62021;61376;60512;58861;60368;60173;60640;57722;62239;60770;62094;60955;61671;60647;60041;59688;59157;62710;59276;61416;60282;60420;60213;61030;62142;62686;61537;60234;59900;59787;60316;60124
58303;58895;57504;61743;60804;60066;58085;59734;59313;60027;57076;61758;60429;61989;60185;61326;60175;59643;58901;58328;62559;58491;60859;60031;59901;59895;60213;61956;62417;61211;59886;58938;59293;59994;59203
53726;54574;53112;57649;56509;56072;53954;55448;54921;55802;52895;57650;56226;58123;55888;57194;55993;55604;54440;54118;58248;54257;56771;56047;55596;55863;55846;57765;58209;57136;55736;54487;54938;55959;54968
48249;49066;47671;52163;50976;50709;48625;49942;49480;50289;47532;52230;50687;52760;50442;51795;50520;50175;48856;48748;52635;48875;51355;50656;50080;50431;50333;52233;52675;51705;50250;49020;49377;50508;49591
42853;43444;42177;46358;45268;44909;42964;44244;43945;44492;41934;46486;44922;46900;44816;46177;44788;44345;43232;43108;46963;43268;45575;44861;44441;44588;44679;46536;46935;45947;44496;43473;43748;44658;43906
36789;37136;36004;39824;38884;38386;36648;37873;37705;38025;35609;40090;38421;40259;38548;39840;38340;37787;36993;36821;40505;36997;39164;38262;38077;37942;38428;40087;40425;39441;37967;37236;37382;38032;37574
30761;30010;33462;33947;33236;33263;30448;32074;32651;31441;29745;34289;31574;34316;32601;34419;31431;31467;30712;31868;34736;32512;33063;31653;31956;30283;32870;34086;34354;34241;31880;30668;31977;32154;30904
26510;25708;29129;29749;28944;29066;26183;27880;28335;27155;25446;30183;27318;30220;28402;30199;27245;27216;26321;27639;30508;28229;28771;27518;27667;26117;28544;29882;30113;30027;27626;26386;27754;27794;26588
23035;22229;25727;26345;25579;25652;22791;24433;24883;23757;22016;26764;23888;26807;24949;26787;23796;23787;22903;24184;27102;24830;25305;24096;24232;22640;25134;26493;26720;26602;24090;22946;24315;24366;23112
20869;20013;23551;24155;23391;23469;20597;22260;22687;21576;19831;24568;21720;24631;22768;24611;21598;21605;20712;21954;24905;22668;23100;21912;22043;20443;22933;24310;24541;24424;21814;20765;22108;22181;20899
19738;18764;22394;22937;22173;22257;19335;21101;21491;20385;18617;23319;20547;23418;21597;23422;20391;20420;19531;20626;23691;21534;21853;20694;20860;19202;21683;23088;23358;23257;20473;19585;20885;21008;19649
20354;19148;23027;23220;22549;22594;19634;21571;22031;20887;19086;23409;21065;23605;22040;23768;20722;20886;20180;20764;24008;22169;22238;20941;21395;19444;22046;23364;23761;23701;20583;20111;21241;21699;20061
24128;22808;26776;26600;25974;26152;23248;25213;25796;24599;22835;26629;24803;26952;25658;27048;24262;24526;23990;24415;27358;25923;25899;24448;25137;23001;25542;26736;27145;27213;24074;23832;24867;25701;23801
31212;30179;34080;33739;33174;33453;30794;32343;33168;31979;30271;33713;32116;34090;32802;33972;31420;31759;31351;32159;34438;33156;33355;31713;32471;30283;32876;33920;34175;34293;31460;31097;32213;33332;31269
38835;38091;42050;41758;41229;41380;38799;40097;41107;39898;38135;41728;39948;42063;40598;42038;39197;39615;39259;40204;42511;41004;41425;39571;40381;38078;41009;41988;42219;42243;39414;38910;40113;41349;39167
42019;41390;45265;45113;44460;44604;41917;43314;44386;43002;41273;45161;43144;45455;43858;45622;42367;42816;42385;43405;45938;44139;44882;42758;43599;41344;44413;45356;45631;45633;42779;42088;43277;44537;42409
40471;39885;43783;43697;42987;43055;40270;41777;42901;41393;39660;43766;41593;44030;42349;44434;40767;41277;40824;41737;44601;42588;43504;41155;42073;39775;43046;43956;44309;44264;41250;40529;41668;42987;40851
40064;39458;43328;43227;42482;42531;39682;41311;42474;40847;39158;43291;41126;43546;41897;44127;40240;40795;40353;41145;44177;42096;43131;40590;41603;39294;42641;43488;43904;43860;40787;40064;41116;42508;40401
40780;40174;43991;43814;43101;43103;40261;41936;43166;41457;39822;43833;41774;44066;42527;44799;40842;41433;41072;41713;44796;42728;43824;41119;42255;39916;43331;44068;44536;44489;41482;40739;41701;43161;41113
